10;6.396e-05;10;best_first_search;102;07:58 07-05-2026
11;0.000887915;11;breadth_first_search;129;07:58 07-05-2026
11;0.000897994;11;breadth_first_search;129;07:58 07-05-2026
11;0.000905658;11;breadth_first_search;129;07:58 07-05-2026
11;0.000965641;11;breadth_first_search;129;07:58 07-05-2026
11;0.000896732;11;breadth_first_search;129;07:59 07-05-2026
11;0.000285375;11;best_first_search;129;07:59 07-05-2026
11;0.000294792;11;best_first_search;129;07:59 07-05-2026
11;0.000287148;11;best_first_search;129;07:59 07-05-2026
11;0.000283671;11;best_first_search;129;07:59 07-05-2026
11;0.000299772;11;best_first_search;129;07:59 07-05-2026
12;0.00460378;12;breadth_first_search;176;07:59 07-05-2026
12;0.00462933;12;breadth_first_search;176;07:59 07-05-2026
12;0.00464173;12;breadth_first_search;176;07:59 07-05-2026
12;0.00465813;12;breadth_first_search;176;07:59 07-05-2026
12;0.00464466;12;breadth_first_search;176;07:59 07-05-2026
12;0.000515878;12;best_first_search;176;07:59 07-05-2026
12;0.000486392;12;best_first_search;176;07:59 07-05-2026
12;0.000501951;12;best_first_search;176;07:59 07-05-2026
12;0.000517541;12;best_first_search;176;07:59 07-05-2026
12;0.000485239;12;best_first_search;176;07:59 07-05-2026
13;0.010321;13;breadth_first_search;203;07:59 07-05-2026
13;0.0102274;13;breadth_first_search;203;07:59 07-05-2026
13;0.0103215;13;breadth_first_search;203;07:59 07-05-2026
13;0.0102662;13;breadth_first_search;203;07:59 07-05-2026
13;0.0103374;13;breadth_first_search;203;07:59 07-05-2026
13;0.0015011;13;best_first_search;203;07:59 07-05-2026
13;0.00149599;13;best_first_search;203;07:59 07-05-2026
13;0.00149875;13;best_first_search;203;07:59 07-05-2026
13;0.00152701;13;best_first_search;203;07:59 07-05-2026
13;0.00149192;13;best_first_search;203;07:59 07-05-2026
14;0.000118402;14;breadth_first_search;133;07:59 07-05-2026
14;0.000109224;14;breadth_first_search;133;07:59 07-05-2026
14;0.000117921;14;breadth_first_search;133;07:59 07-05-2026
14;0.000107451;14;breadth_first_search;133;07:59 07-05-2026
14;0.000125255;14;breadth_first_search;133;08:00 07-05-2026
14;0.000108573;14;best_first_search;133;08:00 07-05-2026
14;0.000124483;14;best_first_search;133;08:00 07-05-2026
14;0.000107362;14;best_first_search;133;08:00 07-05-2026
14;0.000116477;14;best_first_search;133;08:00 07-05-2026
14;0.000118121;14;best_first_search;133;08:00 07-05-2026
15;0.00340226;15;breadth_first_search;170;08:00 07-05-2026
15;0.003407;15;breadth_first_search;170;08:00 07-05-2026
15;0.00340114;15;breadth_first_search;170;08:00 07-05-2026
15;0.00339285;15;breadth_first_search;170;08:00 07-05-2026
15;0.00339688;15;breadth_first_search;170;08:00 07-05-2026
15;0.00343734;15;best_first_search;170;08:00 07-05-2026
15;0.00343287;15;best_first_search;170;08:00 07-05-2026
15;0.0034262;15;best_first_search;170;08:00 07-05-2026
15;0.00342909;15;best_first_search;170;08:00 07-05-2026
15;0.00344477;15;best_first_search;170;08:00 07-05-2026
16;0.00430039;16;best_first_search;156;08:00 07-05-2026
16;0.00428096;16;best_first_search;156;08:00 07-05-2026
16;0.00431916;16;best_first_search;156;08:00 07-05-2026
16;0.00375834;16;best_first_search;156;08:00 07-05-2026
16;0.00431028;16;best_first_search;156;08:00 07-05-2026
17;0.00439145;17;best_first_search;155;08:01 07-05-2026
17;0.0043077;17;best_first_search;155;08:01 07-05-2026
17;0.00444085;17;best_first_search;155;08:01 07-05-2026
17;0.00436;17;best_first_search;155;08:01 07-05-2026
17;0.00442543;17;best_first_search;155;08:01 07-05-2026
18;0.111432;18;breadth_first_search;158;08:01 07-05-2026
18;0.111097;18;breadth_first_search;158;08:01 07-05-2026
18;0.111135;18;breadth_first_search;158;08:01 07-05-2026
18;0.111175;18;breadth_first_search;158;08:01 07-05-2026
18;0.110748;18;breadth_first_search;158;08:01 07-05-2026
18;0.00743633;18;best_first_search;158;08:01 07-05-2026
18;0.00737153;18;best_first_search;158;08:01 07-05-2026
18;0.00742401;18;best_first_search;158;08:01 07-05-2026
18;0.00735628;18;best_first_search;158;08:01 07-05-2026
